Model,MSO54
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.600000e-07
Record Length,81250
Zero Index,5745.281986
Vertical Units,A

TIME,CH3
-8.909251e-04,-1.093750e-01
-8.907651e-04,4.921875e-01
-8.906051e-04,-9.843750e-01
-8.904451e-04,3.515625e-01
-8.902851e-04,1.460938e+00
-8.901251e-04,3.828125e-01
-8.899651e-04,3.046875e-01
-8.898051e-04,-4.453125e-01
-8.896451e-04,-3.828125e-01
-8.894851e-04,1.039062e+00
-8.893251e-04,1.226562e+00
-8.891651e-04,-3.046875e-01
-8.890051e-04,5.546875e-01
-8.888451e-04,-1.640625e-01
-8.886851e-04,6.250000e-01
-8.885251e-04,1.382812e+00
-8.883651e-04,-2.859375e+00
-8.882051e-04,-1.460938e+00
-8.880451e-04,-4.921875e-01
-8.878851e-04,7.890625e-01
-8.877251e-04,-4.453125e-01
-8.875651e-04,4.609375e-01
-8.874051e-04,9.843750e-01
-8.872451e-04,7.812500e-03
-8.870851e-04,-6.171875e-01
-8.869251e-04,-8.750000e-01
-8.867651e-04,4.609375e-01
-8.866051e-04,-5.625000e-01
-8.864451e-04,-1.593750e+00
-8.862851e-04,1.093750e-01
-8.861251e-04,-1.585938e+00
-8.859651e-04,1.023438e+00
-8.858051e-04,7.734375e-01
-8.856451e-04,-3.046875e-01
-8.854851e-04,8.203125e-01
-8.853251e-04,1.250000e-01
-8.851651e-04,8.828125e-01
-8.850051e-04,-4.843750e-01
-8.848451e-04,1.382812e+00
-8.846851e-04,1.210938e+00
-8.845251e-04,-4.531250e-01
-8.843651e-04,-7.656250e-01
-8.842051e-04,-4.140625e-01
-8.840451e-04,5.859375e-01
-8.838851e-04,-1.148438e+00
-8.837251e-04,1.265625e+00
-8.835651e-04,-1.000000e+00
-8.834051e-04,1.562500e+00
-8.832451e-04,1.406250e-01
-8.830851e-04,-4.687500e-02
-8.829251e-04,2.265625e-01
-8.827651e-04,-1.640625e+00
-8.826051e-04,1.210938e+00
-8.824451e-04,-7.265625e-01
-8.822851e-04,3.125000e-01
-8.821251e-04,2.578125e-01
-8.819651e-04,-3.671875e-01
-8.818051e-04,-1.093750e-01
-8.816451e-04,1.265625e+00
-8.814851e-04,5.546875e-01
-8.813251e-04,-2.578125e-01
-8.811651e-04,-8.281250e-01
-8.810051e-04,2.968750e-01
-8.808451e-04,-1.851562e+00
-8.806851e-04,-1.890625e+00
-8.805251e-04,4.765625e-01
-8.803651e-04,-1.726562e+00
-8.802051e-04,-7.734375e-01
-8.800451e-04,1.062500e+00
-8.798851e-04,1.562500e-02
-8.797251e-04,-4.687500e-02
-8.795651e-04,6.562500e-01
-8.794051e-04,-2.265625e-01
-8.792451e-04,-2.968750e-01
-8.790851e-04,-2.414062e+00
-8.789251e-04,-6.406250e-01
-8.787651e-04,-4.921875e-01
-8.786051e-04,-1.726562e+00
-8.784451e-04,-3.359375e-01
-8.782851e-04,-6.406250e-01
-8.781251e-04,-8.750000e-01
-8.779651e-04,-1.328125e-01
